,ds,yhat,yhat_lower,yhat_upper
0,2022-01-01,82.636944,81.85910255229435,83.39217523639674
1,2022-02-01,82.38187883679245,81.6112234018035,83.14364526352225
2,2022-03-01,82.15149581353528,81.44245016423787,82.8811523861115
3,2022-04-01,81.89707804162629,81.12989441486208,82.62582500465189
4,2022-05-01,81.65279250754212,80.91336258405786,82.46346457742739
5,2022-06-01,82.66730012468028,81.87714642963232,83.35246101687876
6,2022-07-01,83.64908169312581,82.88511895928401,84.42880930117569
7,2022-08-01,84.66358931385285,83.83080939226255,85.39397387970742
8,2022-08-31,85.64537088229837,84.86344385024387,86.32435422226767
9,2022-09-30,86.62715245074389,85.70708512676097,87.5508700046488
10,2022-10-31,87.64166007147092,86.361285588258,88.87779082272336
11,2022-11-30,88.62344163991645,86.88013820838783,90.45368283108436
12,2022-12-31,89.6379492606435,87.3341039360309,92.02397514731663
