,FECHA,CLIENTES ACTIVOS,PPTO 2022,% CUMPLIMIENTO
0,ene-22,"4,506,695","4,526,139",100%
1,feb-22,"4,637,512","4,552,773",102%
2,mar-22,"4,736,086","4,635,357",102%
3,abr-22,"4,812,646","4,705,480",102%
4,may-22,"4,883,808","4,808,531",102%
5,jun-22,"4,951,023","4,879,005",101%
6,jul-22,"5,026,730","4,997,513",101%
7,ago-22,"5,091,843","5,105,560",100%
8,sep-22,"5,131,082","5,192,417",100%
9,oct-22,5289413.74397996,"5,314,375",99%
10,nov-22,5401869.69529977,"5,441,127",98%
11,dic-22,5557275.61441261,"5,603,919",97%
