,TX No Mon,TX  Mon0,TX Totales,Mes,Monetarias,No Monetarias,Total
0,167286103,22811741,190097844,Jan-22,21418311,157543758,178962069
1,168270496,22945977,191216473,feb-22,21288814,148911572,170200386
2,171322777,23362197,194684974,mar-22,23621849,164372857,187994706
3,173914529,23715618,197630147,Apr-22,24587927,169060910,193648837
4,177723291,24234994,201958285,may-22,26890883,204512186,231403069
5,180328011,24590183,204918195,jun-22,26058061,195931129,221989190
6,184708085,25187466,209895551,jul-22,27957746,204230014,232187760
7,188701504,25732023,214433527,Aug-22,28596247,213193477,241789724
8,191911738,26169782,218081520,Sep-22,29238593.362981074,225539279.9344294,254777873.2974105
9,196419284,26784448,223203732,Oct-22,28832700.17755892,238259163.6830281,267091863.86058703
10,201104041,27423278,228527319,Nov-22,30433617.377210543,252776090.63979685,283209708.0170074
11,207120850,28243752,235364603,Dic-22,31254662.887838773,269790294.9259598,301044957.8137986
